L,parratt_trace,kinematic_trace
8.569377990430617764e-01,9.147874663679608732e-04,9.360767864523583020e-04
8.585326953748001477e-01,9.079935076528738991e-04,9.272847441516195643e-04
8.601275917065386301e-01,9.012500064229597447e-04,9.185752805548254990e-04
8.617224880382771124e-01,8.945565879397333756e-04,9.185752805548254990e-04
8.633173843700154837e-01,8.879128802478234491e-04,9.014009942968718428e-04
8.649122807017539660e-01,8.813185141542975547e-04,9.014009942968718428e-04
8.665071770334923373e-01,8.747731232081569150e-04,7.677960997166025483e-04
8.681020733652308197e-01,8.682763436799681303e-04,7.605846231745612375e-04
8.696969696969693020e-01,8.618278145416411818e-04,7.534408799720556955e-04
8.712918660287076733e-01,8.554271774463839424e-04,7.463642339279568782e-04
8.728867623604461556e-01,8.490740767087789865e-04,7.393540548364288100e-04
8.744816586921845269e-01,8.427681592850139224e-04,7.324097184108022563e-04
8.760765550239230093e-01,8.365090747532751133e-04,7.324097184108022563e-04
8.776714513556614916e-01,8.302964752942604450e-04,7.324097184108022563e-04
8.792663476873998629e-01,8.241300156718633961e-04,7.324097184108022563e-04
8.808612440191383453e-01,8.180093532139821183e-04,7.898433820141082060e-04
8.824561403508767166e-01,8.119341477934731476e-04,7.898433820141082060e-04
